,Textos_evasao,Textos_traduzidos
0,"consegui passar em outra universidade, em uma cidade com muito mais oportunidades de estágio e emprego na área.","I got passed in  another university, in a city with much more internship and job opportunities in the area."
1,adaptacao ,adaptation
2,acabei desistindo da área. virei concurseiro ,I ended up giving up the area. I will take civil services exams
3,professores dificultam muito a nossa estadia na faculdade,Teachers make it very difficult for us to stay in college
4,a greve que ocorreu na época. ,The strike that occurred at the time.
5,"eu não consegui prosseguir. o icea cobra muito e ensina pouco! utiliza como paramento de conhecimento alunos que vieram de escolas particulares, e esquecem que o sistema publico esta defasado em conhecimento.","I didn't get continue. ICEA charges a lot and teaches little! It uses students who came from private schools as a parameter of knowledge, and they forget that the public system is lagging behind in knowledge."
6,muita greve!,Too much strike!
7,aprovação em outra universidade (ufmg).,Approval at another university (UFMG).
8,dificuldade em conciliar trabalho e estudos,Difficulty in reconciling work and studies
9,passar em uma universidade maior,Pass at a bigger university
10,"desligamento por baixo rendimento, devido a problemas psicológicos causados por desmotivação em relação ao curso.",Low-performance shutdown due to psychological problems caused by demotivation in relation to the course.
11,falta de didatica de alguns professores.,Lack of didactics by some teachers.
12,joao monlevade,Joao Monlevade
13,observação: cenário é com “c”.,Note: Scenario is with “C”.
14,mudança de curso e faculdade,Change of course and university
15,mudei para puc-mg e comecei a trabalhar na cemig. ,I moved to PUC-MG and started working at Cemig.
16,aprovação em minha primeira opção de curso no sisu.,Approval on my first course option at Sisu.
17,- o ambiente em sala de aula me desmotivava.,- The classroom environment discouraged me.
18,desinteresse por causa de reprovações,Desinterest due to disapprovals
19,distância de casa e não pertencimento a cidade de monlevade,Distance from home and not belonging to the city of Monlevade
20,oportunidade de cursar uma federal em minha cidade ,Opportunity to attend a Federal University in my city
21,"falta de professores competentes e muitas greves, além das reformas q duraram todo o tempo do curso","Lack of competent teachers and many strikes, in addition to the reforms that lasted throughout the course"
22,meu filho nasceu. =),My son was born. =)
23,greves constantes e quando retornava nao havia coro suficiente para todos os alunos ,Constant strikes and when i returned there was not enough choir for all students
24,"eu tenho tdah, não sabia disso na época, e não conseguia render nos estudos.","I have ADHD, I didn't know it at the time, and I couldn't get well in my studies."
25,distancia entre a faculdade e minha casa,Distance between college and my home
26,dificuldade de alugar imóvel sem burocracia como fiador.,Difficulty in renting property without bureaucracy as guarantor.
27,dificuldades em algoritmos e estruturas de dados,Difficulties in Algorithms and Data Structures
28,reprovações sucessivas.,Successive failures.
29,não estava gostando do curso e surgiu a oportunidade de fazer um curso diferente e mais próximo da minha cidade,I didn't like the course and the opportunity arose to take a different course closer to my city
30,"os professores não ensinam, a grande maioria, salvo alguns, demonstram desinteresse em relação ao aprendizado dos alunos e em ensinar, são sarcásticos e, devido ao cargo em uma ief, se mostram sentido-se como superiores em relação à outros professores.","Teachers do not teach, the vast majority, except for a few, show disinterest in the learning of students and in teaching, are sarcastic and, due to their position in an IEF, show themselves to be superior to other teachers."
31,"a péssima didática de alguns professores, e em alguns casos a má vontade do mesmo em saber ensinar... deixando na maioria das ocasiões o ensino por conta do tutor/monitor.","The terrible didactics of some teachers, and in some cases their unwillingness to teach ... Leaving most of the time the teaching on behalf of the tutor / monitor."
32,falta de aproveitamento do rendimento de outra faculdade para transferência,Lack of yield utilization of another faculty for transfer
33,voltei pra area que sempre gostei e trabalhei,I came back to the area that I always liked and worked
34,estar longe de casa com baixo suporte financeiro.,Being away from home with low financial support.
35,dificuldade em conciliar trabalho e estudo.,Difficulty in reconciling work and study.
36,a dificuldade em relação a matéria principal do curso.,The difficulty in relation to the main subject of the course.
37,"fiz vestibular e passei em curso semelhante na unifei, não estava gostando das instalações da ufop em monlevade. ","I took the entrance exam and passed a similar course at UNIFEI, I didn't like UFOP's facilities in Monlevade."
38,quem tem um lindo especial na família sabe como é... ,Who has a beautiful special in the family knows how it is ...
39,proximidade da outra faculdade com a cidade atual dos pais,Proximity of the other college to the current city of the parents
40,criação da minha própria empresa durante a graduação.,Creation of my own company during graduation.
41,aprovação em concurso.,Competition approval.
42,"entrei em ec e sai, depois de 2 anos voltei em ep e larguei de novo esse periodo.","I entered computer engineering and left, after 2 years I returned to production engineering and left that period again."
43,falta de perspectiva ,Lack of perspective
44,imaturidade do curso,Course immaturity
45,minha matrícula foi cancelada de forma injusta pois apresentei todos os documentos necessários e após 3 meses que já estava estudando minha matrícula foi cancelada ,My registration was canceled unfairly because I presented all the necessary documents and after 3 months that I was already studying my registration was canceled
46,"passei em uma faculdade da minha cidade, no mesmo curso","I have passed in a college in my city, on the same course"
47,didática ruim (exceto na disciplina de introdução a engenharia da computação) e muita cobrança nas provas. ,Bad didactics (except in the introductory discipline to computer engineering) and a lot of demands on tests.
48,a depressão me levou a ter desinteresse pelo curso e por todo o resto.,The depression caused me to be disinterested in the course and everything else.
49,"professores sem compromisso de ensinar, que tem prazer em dar nota baixar mas não tem boa vontade de ensinar. ","Teachers with no commitment to teaching, who are happy to grade down but have no good will to teach."
50,infelicidade e dificuldade no neu curso.,Unhappiness and difficulty in my course.
51,falta de compreensão da maioria dos professores em relação a alunos que trabalhavam o dia inteiro e viajavam pra estudar no período noturno.,Most teachers lack understanding of students who worked all day and traveled to study at night.
52,não era oque eu queria ,It wasn't what I wanted
53,incompatibilidade de tempo de trabalho e estudo.,Incompatibility of work and study time.
54,entrei na usp dois dias depois da matrícula,I joined USP two days after enrollment
55,escolhi outro curso que tinha maior interesse pela área.,I chose another course that i had a greater interest in the area.
56,"o curso estava com muitos problemas. a falta de laboratórios e a previsão que eles não seriam construídos antes de formamos, professores muito displicentes com o ensino (tivemos um professor que faltou quase 3 meses de aula e quiz dar o semestre em 2 meses pegando o mês de ferias para isso), problemas estruturais do próprio campus, enfim, estava tudo uma bagunça e desorganização reinava ali. essas coisas foram desanimando e muito minha turma, o que ocasionou uma grande evasão entre eles. acabei prestando vestibular para outra universidade pública e me desliguei da ufop - icea. ","The course was in a lot of problems. The lack of laboratories and the prediction that they would not be built before we graduated, teachers very careless with teaching (we had a teacher who missed almost 3 months of class and wanted to give the semester in 2 months taking the month of vacation for that), structural problems of the campus itself, in short, everything was a mess and disorganization reigned there. These things were discouraging and a lot of my class, which caused a great evasion among them. I ended up taking entrance exams for another public university and I left UFOP - ICEA."
57,"não me via como engenheiro, todos meus colegas já tinham uma predisposição na área do curso.","I didn't see myself as an engineer, all my colleagues already had a predisposition in the area of ​​the course."
58,"falta de acessibilidade as pessoas que trabalham de turno. tive que escutar de professores, principalmente do xxxxx, coordenador do curso de sistemas de informação que ou você trabalha ou você estuda. não posso fazer nada por você! alie senti como um nada. a escola pública deve ser acessível. uma vez que vi que a universidade pública era acessível a quem tinha acessibilidade a disponibilidade fiquei triste, pois sempre precisei trabalhar parar bancar. água, luz, alimentação e etc. e professores como o xxxxx me fizeram a sair da ufop","Lack of accessibility for people who work shift work. I had to listen to professors, mainly xxxxx, coordinator of the Information Systems course that either you work or you study. I can not do anything for you! Alie felt like nothing. The public school must be accessible. Once I saw that the public university was accessible to those who had accessibility to availability, I was sad, because I always had to work to pay. Water, electricity, food and so on. And teachers like Thiago made me leave UFOP"
59,"a infra da ufop para computação é uma bosta, não tem pesquisa, não tem aulas práticas de laboratório e depois que você conhece a ufmg você se decepciona ainda mais, já que os maiores problemas da ufop estão no comportamento agressivo de ter prazer em reprovar os alunos.","UFOP's infrastructure for computing sucks, it doesn't have research, it doesn't have practical laboratory classes and after you know UFMG you are even more disappointed, since UFOP's biggest problems are the aggressive behavior of having pleasure in failing students. students."
60,"falta de empatia dos professores, principalmente com quem trabalha.","Teachers lack empathy, especially with those who work."
61,eu percebi que eu não me encaixava na área de exatas,I realized that I didn’t fit in the exact area
62,a vida ,To life
63,mudei para a ufmg.,I moved to UFMG.
64,faltou força de vontade para continuar.,Lacked of willpower to continue.
65,"total falta de respeito de alguns professores com alunos e com a educação, péssimos professores, tem prazer em falar que reprovam mais de 90% de alunos, na minha opinião o problema não está nos alunos reprovados e sim nestes ""professores"". ","the total lack of respect of some teachers with students and with education, terrible teachers, is happy to say that they fail more than 90% of students, in my opinion the problem is not with failing students, but with these ""teachers""."
66,"um curso que já era difícil se tornou mais difícil por conta de professores antiquados, com péssima didática e certa ignorância ao lidar com alunos. em especial o professor e presidente do colegiado xxxxx, que vez ou outra trata alunos de forma grosseira e negava pedidos de quebra sem justificativas plausíveis (ex: negou engenharia ambiental básica alegando falta de conhecimento prévio)","A course that was already difficult became more difficult because of antiquated teachers, with terrible teaching and a certain ignorance when dealing with students. Especially the professor and president of the collegiate xxxxx, who occasionally rudely treats students and denied requests for break without plausible justifications (ex: denied Basic Environmental Engineering alleging lack of prior knowledge)"
67,"passei no mesmo curso na ufop, devido à distância da família, baixo recurso financeiro e não adaptação à joão monlevade, decidi voltar para ouro preto.","I have passed the same course at UFOP, due to family distance, low financial resources and not adapting to João Monlevade, I decided to return to Ouro Preto."
68,"a maioria dos professores não ajuda quem trabalha e estuda, somente aos alunos que ficam somente para estudar.","Most teachers do not help those who work and study, only students who stay only to study."
69,falta de tempo foi fator determinante.,Lack of time was a determining factor.
70,mudança de curso devido minha área de atuação no mercado de trabalho,Course change due to my area of ​​expertise in the job market
71,baixo rendimento nas disciplinas,Low performance in disciplines
72,não me adaptei ao curso,I DIDN'T FIT THE COURSE
73,"diagnosticado com depressão, sem sequência no tratamento.","Diagnosed with depression, with no treatment sequence."
74,foi necessário priorizar o trabalho em detrimento ao estudo.,It was necessary to prioritize work over study.
75,"não me adaptei à cidade, estava muito jovem e despreparado.","I didn't adapt to the city, I was very young and unprepared."
76,passei em outro curso na ufop no campus morro do cruzeiro ,I have passed in another course at UFOP in another campus
77,"falta de uma fonte de renda para me sustentar na cidade, infelismente.","lack of a source of income to support me in the city, unfortunately."
78,sair de jm,Leave JM
79,engenharia da computação não é para mim.,Computer engineering is not for me.
80,falta de identificação com o curso,Lack of identification with the course
81,é necessário coragem para se largar algo imposto pela sua família... e viver das suas próprias escolhas!,It takes courage to let go of something imposed by your family ... and live off your own choices!
82,aprovado em concurso público,Approved in public tender
83,mudança de trabalho para a cidade de itabira e incompatibilidade de horário ,Change of job to the city of Itabira and incompatibility of schedule
84,mudar de área,Change area
85,fui emburrecido durante anos no ensino público brasileiro e não estava preparado para a realidade da academia naquela época; ,I was dumbed down for years in Brazilian public education and I was not prepared for the reality of the academy at that time;
86,falta de apoio da coordenação.,Lack of support from coordination.
87,"professores sem didática nenhuma em um curso que ja é muito difícil, não tendo a opção de puxar a materia com um outro","Teachers with no didactics in a course that is already very difficult, not having the option of take the subject with another one"
88,saude,Health
89,"me sentia um peixe fora d água, deprimida e cada vez mais desmotivada.","I felt like a fish out of water, depressed and increasingly unmotivated."
90,a faculdade não da atenção necessária a alunos com necessidade especial,The faculty does not provide the necessary attention to students with special needs
91, incompatibilidade de tempo de tempo de trabalho e estudo,Incompatibility of working time and study time
92,conflito com o trabalho,conflict with work
93,"entrei na ufop por transferência externa realizei a matricula com os técnicos administrativos que foram muito atenciosos mesmo estando em greve no momento,não fiquei na ufop por que não concordei com o aproveitamento do currículo.","I joined UFOP by external transfer I enrolled with the administrative technicians who were very attentive even though they were on strike at the moment, I did not stay at UFOP because I did not agree with the use of the curriculum."
94,"o fato de que o curso tem mais peso em tópicos com os quais tenho pouca afinidade, junto de um possível problema psicológico.","The fact that the course has more weight on topics with which I have little affinity, along with a possible psychological problem."
95,"não me via trabalhando na área, além da exigência de esforço dobrado em certas matérias devido a professores mal preparados, isso tudo trabalhando e estudando.","I did not see myself working in the area, besides the requirement of double effort in certain subjects due to ill-prepared teachers, all of this working and studying."
96,"o ambiente da faculdadr nao era agradavel,falo sobre os alunos. muitos incentivam a desistencia ainda quando somos calouros, o sistema de republicas na cidade é muito ridiculo, cheio de panelinhas. nao ter uma moradia estudantil como nos outros campos dificulta, ja que ficam poucas as opcoes p quem vem de outra cidade. ","The college environment was not pleasant, I talk about the students. Many encourage us to give up even when we are freshmen, the system of republics in the city is very ridiculous, full of cliques. Not having a student housing as in other fields makes it difficult, since there are few options for those who come from another city."
97,tive depressão devido a problemas pessoais que se agravaram com as baixas notas no curso e as altas cobranças ,I had depression due to personal problems that were aggravated by the low grades in the course and the high demands
98,"o curso estava no início faltando muitos professores, o que me levava a pegar cerca de 3, 4 materias por semestres","The course was at the beginning lacking many teachers, which led me to take about 3, 4 subjects per semester"
99,problemas familiares,Family problems
100,escolha errada,Wrong choice
101,"eu sai porque passei na unesp em engenharia civil (na qual eu me formei) que era 1 hora da casa dos meus pais, enquanto que a ufop, eu demorava 8h para chegar.","I left because I have passed at UNESP in Civil Engineering (in which I graduated) that it was 1 hour from my parents' house, while at UFOP, it took me 8 hours to arrive."
102,"não me identifiquei com o curso. entrei para o curso de engenharia de produção, porém me identifico mais com a área de humanas","I didn't identify with the course. I joined the Production Engineering course, but I identify more with the humanities area"
103,a falta de afinidade com o curso e a forma como as disciplinas são dadas.,The lack of affinity with the course and the way the subjects are given.
104,"não gostei muito do campus, pois não me sentia em uma universidade e acabei descobrindo outro curso de interesse no campus morro do cruzeiro.","I didn't like the campus very much, as I didn't feel like I was at a university and I ended up discovering another course of interest on the Morro do Cruzeiro campus."
105,dificuldade em frequentar as aulas e falta de tempo suficiente para estudar.,Difficulty in attending classes and lack of sufficient time to study.
106,curso pouco interessante e difícil,LITTLE INTERESTING AND DIFFICULT COURSE
107,"realizei transferência para o cefet de belo horizonte, era mais perto de casa e teve muitas greves no icea, inclusive de alunos.","I transferred to CEFET in Belo Horizonte, was closer to home and had many strikes at ICEA, including students."
108,"fui estudar para concurso público, pois já possuo uma graduação. ","I went to study for a public exam, because I already have a degree."
109,problemas pessoais,Personal problems
110,"notas ruins, não queria começar o curso com o pé esquerdo, mesmo n tendo vontade de estudar.","Bad grades, I didn't want to start the course with my left foot, even though I didn't want to study."
111,a faculdade é o maior exemplo do darwinismo social,The College is the greatest example of social Darwinism
112,não estava gostando mais do curso.,I didn't like the course any more.
113,falta de moradia universitária.,Lack of university housing.
114,a dificuldade em relação a matéria principal do curso.,The difficulty in relation to the main subject of the course.
115,tdah e outras comorbidades.,TADHD and other comorbidities.
116,falta de identificação com o curso,Lack of identification with the course
117,tempo para estudo,time for study
118,possibilidade de ingressar em outro curso que me interessava mais.,Possibility of entering another course that interested me the most.
119,não me identifiquei com a área e não conseguia aprender.,I didn't identify with the area and I couldn't get learn.
120,aprovação no vestibular da ufsj para o curso de engenharia de telecomunicações,Approval in the entrance exam at UFSJ for the Telecommunications Engineering course
121,entrei em outra universidade federal na mesma cidade que minha família mora.,I entered another federal university in the same city where my family lives.
122,consegui trasferencia para uma universidade na minha cidade natal,Getting a transfer to a university in my hometown
123,"dificuldade em gerenciar o trabalho com estudo,o que afetou a saúde ","Difficulty in managing study and work, which affected health"
124,familia e greve da ufop,family and UFOP's strike
125,"falta de tempo livre para dedicação aos estudos, em face dos horários de trabalho.","Lack of free time to dedicate to studies, in view of working hours."
126,os custos de vida eram altos e a motivação pela curso era baixa. ,Living costs were high and motivation for the course was low.
127,fiz as escolhas erradas,I made the wrong choices
128,não me adaptei com o curso.,I didn't adapt to the course.
129,ninguém tem comprometimento com ensino no icea. professores que se acham por bombar quase uma turma toda . alunos que cagam pra estar tomando pau em tudo .,No one have committed to teaching at icea. Teachers who are so full of themselves because fail almost a whole class. students who don't care of being reproved in almost all subjects
130,"não tinha a intenção de largar o curso, porém tive que trancar o período duas vezes devido a mudança para outra cidade que fiz.","I had no intention of leaving the course, however I had to lock the period twice due to the move to another city that I made."
131,"era minha segunda graduação, representaria uma mudança muito grande na carreira e estava impossível conciliar com o trabalho, mas o curso é bom e não tenho o que reclamar dos professores.","It was my second graduation, it would represent a very big change in career and it was impossible to reconcile with work, but the course is good and I have nothing to complain about the teachers."
132,problema familiares causaram meu baixo desempenho.,Family problems caused my low performance.
